transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
SPCC16C4.19.1	1	0.719552635040986	FALSE	TRUE
SPBC21H7.03c.1	1	0.719552635040987	FALSE	TRUE
SPCC132.04c.1	1	0.719552635040987	FALSE	TRUE
SPNCRNA.689.1	1	0.287788517140687	FALSE	TRUE
SPAC17G6.15c.1	1	0.719552635040987	FALSE	TRUE
SPBC211.06.1	1	2.328822452046	FALSE	TRUE
SPAC23C4.05c.1	1	1.19068187768431	FALSE	TRUE
SPBC13G1.15c.1	1	0.719552635040987	FALSE	TRUE
SPNCRNA.82.1	1	0.719552635040987	FALSE	TRUE
SPAC1687.18c.1	1	0.719552635040987	FALSE	TRUE
SPCC584.14.1	1	0.719552635040987	FALSE	TRUE
SPAC4D7.14.1	1	0.719552635040987	FALSE	TRUE
SPACUNK4.11c.1	1	0.719552635040986	FALSE	TRUE
ENSRNA049629443-T1	1	1	FALSE	FALSE
SPCC622.06c.1	1	0.719552635040986	FALSE	TRUE
SPNCRNA.1537.1	1	0.719552635040987	FALSE	TRUE
SPAC18B11.08c.1	1	0.719552635040987	FALSE	TRUE
SPAC6G9.05.1	1	0.719552635040987	FALSE	TRUE
SPAC20G8.03.1	1	1.95535391480503	FALSE	TRUE
SPAC18G6.07c.1	1	0.719552635040987	FALSE	TRUE
SPCC737.05.1	1	0.719552635040986	FALSE	TRUE
SPCC1322.14c.1	1	1.42320966381146	FALSE	TRUE
SPCC1259.07.1	1	0.719552635040987	FALSE	TRUE
SPCC663.02.1	1	0.719552635040987	FALSE	TRUE
SPCC1795.03.1	1	0.719552635040987	FALSE	TRUE
SPNCRNA.1532.1	1	0.719552635040986	FALSE	TRUE
SPBTRNAVAL.05.1	1	1	FALSE	FALSE
SPAC4D7.08c.1	1	0.719552635040987	FALSE	TRUE
SPNCRNA.1571.1	1	0.719552635040987	FALSE	TRUE
SPBC1271.01c.1	1	0.719552635040986	FALSE	TRUE
SPBPB10D8.02c.1	1	0.406906380081108	FALSE	TRUE
SPBC713.05.1	1	0.719552635040987	FALSE	TRUE
SPCC24B10.19c.1	1	0.719552635040987	FALSE	TRUE
SPBC36B7.02.1	1	0.719552635040987	FALSE	TRUE
SPAC1786.04.1	1	0.719552635040986	FALSE	TRUE
SPBC25B2.08.1	1	0.719552635040987	FALSE	TRUE
SPAC23A1.04c.1	1	0.289613534538999	FALSE	TRUE
SPBC146.08c.1	1	0.719552635040986	FALSE	TRUE
SPNCRNA.128.1	1	1.96573306880182	FALSE	TRUE
SPNCRNA.736.1	1	0.719552635040987	FALSE	TRUE
SPNCRNA.1226.1	1	0.719552635040987	FALSE	TRUE
SPATRNACYS.02.1	1	1	FALSE	FALSE
SPNCRNA.1384.1	1	0.719552635040987	FALSE	TRUE
SPBC4F6.13c.1	1	1.79659722222955	FALSE	TRUE
ENSRNA049678113-T1	1	1	FALSE	FALSE
SPBC3D6.15.1	1	0.719552635040987	FALSE	TRUE
SPAC1F7.08.1	1	1.53306183639967	FALSE	TRUE
SPAC13A11.06.1	1	0.719552635040986	FALSE	TRUE
SPAC1783.01.1	1	0.719552635040986	FALSE	TRUE
SPAC17G8.11c.1	1	0.353013846024547	FALSE	TRUE
ERCC_00002	1	0.719552635040987	FALSE	TRUE
ERCC_00003	1	0.719552635040987	FALSE	TRUE
ERCC_00004	1	0.719552635040987	FALSE	TRUE
ERCC_00009	1	0.719552635040987	FALSE	TRUE
ERCC_00012	1	0.719552635040986	FALSE	TRUE
ERCC_00013	1	0.719552635040987	FALSE	TRUE
ERCC_00014	1	0.719552635040986	FALSE	TRUE
ERCC_00016	1	0.719552635040987	FALSE	TRUE
ERCC_00017	1	0.719552635040987	FALSE	TRUE
ERCC_00019	1	0.719552635040987	FALSE	TRUE
ERCC_00022	1	0.719552635040987	FALSE	TRUE
ERCC_00024	1	0.719552635040987	FALSE	TRUE
ERCC_00025	1	0.719552635040987	FALSE	TRUE
ERCC_00028	1	0.719552635040986	FALSE	TRUE
ERCC_00031	1	0.719552635040986	FALSE	TRUE
ERCC_00033	1	0.719552635040987	FALSE	TRUE
ERCC_00034	1	0.719552635040987	FALSE	TRUE
ERCC_00035	1	0.719552635040986	FALSE	TRUE
ERCC_00039	1	0.719552635040986	FALSE	TRUE
ERCC_00040	1	0.719552635040986	FALSE	TRUE
ERCC_00041	1	0.719552635040987	FALSE	TRUE
ERCC_00042	1	0.719552635040987	FALSE	TRUE
ERCC_00043	1	0.719552635040987	FALSE	TRUE
ERCC_00044	1	0.719552635040987	FALSE	TRUE
ERCC_00046	1	0.719552635040987	FALSE	TRUE
ERCC_00048	1	0.719552635040987	FALSE	TRUE
ERCC_00051	1	0.719552635040986	FALSE	TRUE
ERCC_00053	1	0.719552635040987	FALSE	TRUE
ERCC_00054	1	0.719552635040986	FALSE	TRUE
ERCC_00057	1	0.719552635040987	FALSE	TRUE
ERCC_00058	1	0.719552635040987	FALSE	TRUE
ERCC_00059	1	0.719552635040987	FALSE	TRUE
ERCC_00060	1	0.719552635040987	FALSE	TRUE
ERCC_00061	1	0.719552635040987	FALSE	TRUE
ERCC_00062	1	0.719552635040987	FALSE	TRUE
ERCC_00067	1	0.719552635040987	FALSE	TRUE
